model,maze,size,category,mazeType,strategy,history,total,correct,wrong,exceptions,accuracy,wrongRate,exceptionRate,timePerCell,passableCells,edges
gpt-oss:20b,7x7_open_detour,7,open,open_detour,graph,no,20,17,3,1,85,15,5,99.72,21,28
gpt-oss:20b,7x7_open_detour,7,open,open_detour,graph,yes,20,19,1,0,95,5,0,44.73,21,28
gpt-oss:20b,7x7_open_detour,7,open,open_detour,list,no,20,19,1,0,95,5,0,47.46,21,28
gpt-oss:20b,7x7_open_detour,7,open,open_detour,list,yes,20,18,2,0,90,10,0,24.63,21,28
gpt-oss:20b,7x7_open_detour,7,open,open_detour,matrix,no,20,20,0,0,100,0,0,46.2,21,28
gpt-oss:20b,7x7_open_detour,7,open,open_detour,matrix,yes,20,18,2,0,90,10,0,45.68,21,28
gpt-oss:20b,7x7_open_detour,7,open,open_detour,simple,no,20,20,0,0,100,0,0,61.21,21,28
gpt-oss:20b,7x7_open_detour,7,open,open_detour,simple,yes,20,20,0,0,100,0,0,64.04,21,28
gpt-oss:20b,7x7_open_empty,7,open,open_empty,graph,no,24,24,0,0,100,0,0,11.85,25,40
gpt-oss:20b,7x7_open_empty,7,open,open_empty,graph,yes,24,24,0,0,100,0,0,17.61,25,40
gpt-oss:20b,7x7_open_empty,7,open,open_empty,list,no,24,24,0,0,100,0,0,7.94,25,40
gpt-oss:20b,7x7_open_empty,7,open,open_empty,list,yes,24,24,0,0,100,0,0,10.54,25,40
gpt-oss:20b,7x7_open_empty,7,open,open_empty,matrix,no,24,24,0,0,100,0,0,12.02,25,40
gpt-oss:20b,7x7_open_empty,7,open,open_empty,matrix,yes,24,24,0,0,100,0,0,21.36,25,40
gpt-oss:20b,7x7_open_empty,7,open,open_empty,simple,no,24,24,0,0,100,0,0,38.12,25,40
gpt-oss:20b,7x7_open_empty,7,open,open_empty,simple,yes,24,24,0,0,100,0,0,48.26,25,40
gpt-oss:20b,7x7_open_pass,7,open,open_pass,graph,no,23,22,1,0,95.7,4.3,0,19.47,24,36
gpt-oss:20b,7x7_open_pass,7,open,open_pass,graph,yes,23,23,0,0,100,0,0,20.89,24,36
gpt-oss:20b,7x7_open_pass,7,open,open_pass,list,no,23,23,0,0,100,0,0,16.17,24,36
gpt-oss:20b,7x7_open_pass,7,open,open_pass,list,yes,23,23,0,0,100,0,0,18,24,36
gpt-oss:20b,7x7_open_pass,7,open,open_pass,matrix,no,23,22,1,0,95.7,4.3,0,25.23,24,36
gpt-oss:20b,7x7_open_pass,7,open,open_pass,matrix,yes,23,23,0,0,100,0,0,30.91,24,36
gpt-oss:20b,7x7_open_pass,7,open,open_pass,simple,no,23,22,1,0,95.7,4.3,0,58.52,24,36
gpt-oss:20b,7x7_open_pass,7,open,open_pass,simple,yes,23,22,1,0,95.7,4.3,0,55.71,24,36
